Chemicalformula,Synonyms,CAS_Number
Ac2O3,actinium(III)oxide,12002-61-8
Ag,silver,7440-22-4
AgAlCl4,silvertetrachloroaluminate,27039-77-6
AgBr,silverbromide,7785-23-1
AgBrO3,silverbromate,7783-89-3
AgCN,silvercyanide,506-64-9
AgC2H3O2,silveracetate,563-63-3
AgCl,silverchloride,7783-90-6
AgClO3,silverchlorate,7783-92-8
AgClO4,silverperchlorate,7783-93-9
AgF,silverfluoride,7775-41-9
AgF2,silverdifluoride,7783-95-1
AgI,silveriodide,7783-96-2
AgIO3,silveriodate,7783-97-3
AgMnO4,silverpermanganate,7783-98-4
AgN3,silverazide,13863-88-2
AgNO3,silvernitrate,7761-88-8
AgO,"silver(I,III)oxide",1301-96-8
AgONC,silverfulminate,5610-59-3
AgPF6,silverhexafluorophosphate,26042-63-7
AgReO4,silverperrhenate,7784-00-1
AgSNC,silverthiocyanate,1701-93-5
Ag2C2,silveracetylide,7659-31-6
Ag2CO3,silvercarbonate,534-16-7
Ag2C2O4,silveroxalate,533-51-7
Ag2Cl2,disilverdichloride,75763-82-5
Ag2CrO4,silverchromate,7784-01-2
Ag2Cr2O7,silverdichromate,7784-02-3
Ag2F,silversubfluoride,1302-01-8
Ag2MoO4,silvermolybdate,13765-74-7
Ag2O,silveroxide,20667-12-3
Ag2S,silversulfide,21548-73-2
Ag2SO4,silversulfate,10294-26-5
Ag2Se,silverselenide,1302-09-6
Ag2SeO3,silverselenite,7784-05-6
Ag2SeO4,silverselenate,7784-07-8
Ag2Te,silvertelluride,12002-99-2
Ag3Br2,silverdibromide,11078-32-3
Ag3Br3,silvertribromide,11078-33-4
Ag3Cl3,trisilvertrichloride,12444-96-1
Ag3I3,trisilvertriiodide,37375-12-5
Ag3PO4,silverphosphate,7784-09-0
Ag3SbS3,silverthioantimonate,15983-65-0
Al,aluminium,7429-90-5
AlAs,aluminiumarsenide,22831-42-1
AlB2,aluminiumdiboride,12041-50-8
AlB12,aluminiumdodecaboride,12041-54-2
AlBr3,aluminiumbromide,7727-15-3
AlBr3-6H2O,aluminiumbromidehexahydrate,7784-11-4
Al(CHO2)3,aluminiumformate,7360-53-4
AlCl3,aluminiumchloride,7446-70-0
AlCl3-6H2O,aluminiumchloridehexahydrate,7784-13-6
AlF3,aluminiumfluoride,7784-18-1
AlI3,aluminiumiodide,7784-23-8
AlN,aluminiumnitride,24304-00-5
Al(NO3)3,aluminiumnitrate,13473-90-0
Al(OH)3,aluminiumhydroxide,21645-51-2
AlP,aluminiumphosphide,20859-73-8
AlPO4,aluminiumphosphate,7784-30-7
AlSb,aluminiumantimonide,25152-52-7
Al2O3,aluminiumoxide,1344-28-1
Al2(SO4)3,aluminiumsulfate,10043-01-3
Al2S3,aluminiumsulfide,1302-81-4
Al2Se3,aluminiumselenide,1302-82-5
Al4C3,aluminumcarbide,1299-86-1
Al6O13Si2,aluminumsilicate,1302-93-8
AmCl3,americium(III)chloride,13464-46-5
AmO2,americiumdioxide,12005-67-3
As,arsenic,7440-38-2
AsBrO,arsenicoxybromide,82868-10-8
AsBr3,arsenictribromide,7784-33-0
AsCl3,arsenictrichloride,7784-34-1
AsCl3O,arsenicoxychloride,60646-36-8
AsCl5,arsenicpentachloride,22441-45-8
AsF3,arsenictrifluoride,7784-35-2
AsF5,arsenicpentafluoride,7784-36-3
AsH3,arsenictrihydride,7784-42-1
AsI3,arsenictriiodide,7784-45-4
AsO,arsenicmonoxide,12005-99-1
AsO2,arsenicdioxide,12255-12-8
AsP,arsenicmonophosphide,12255-33-3
AsP3,arsenicphosphide,12511-95-4
AsSe4,arsenictetraselenide,12006-06-3
As2H4,diarsenictetrahydride,15942-63-9
As2I4,arsenicdiiodide,13770-56-4
As2O3,arsenictrioxide,1327-53-3
As2O5,arsenicpentoxide,1303-28-2
As2P2,arsenicdiphosphide,12512-03-7
As2S3,arsenictrisulfide,1303-33-9
As2S4,arsenictetrasulfide,1303-32-8
As2S5,arsenicpentasulfide,1303-34-0
As2Se,arsenichemiselenide,1303-35-1
As2Se3,arsenictriselenide,1303-36-2
As2Se5,arsenicpentaselenide,1303-37-3
As2Te3,arsenictritelluride,12044-54-1
As3O4,arsenictetraoxide,83527-53-1
As3P,arsenictriphosphide,12512-11-7
As4S4,tetraarsenictetrasulfide,12279-90-2
Au,gold,7440-57-5
AuBr,gold(I)bromide,10294-27-6
